"exptDate","cellLine","Well","Cell.Nucleus","conc","resp.ratio"
"2012-01-14","DS8","B03",12456,4e-06,0.536010901527648
"2012-01-14","DS8","B04",13367,8e-07,0.575213368715484
"2012-01-14","DS8","B05",12127,1.6e-07,0.521853259700208
"2012-01-14","DS8","B06",16320,3.2e-08,0.702287886394607
"2012-01-14","DS8","B07",23064,6.4e-09,0.992498027684143
"2012-01-14","DS8","B08",21784,1.28e-09,0.937416624829664
"2012-01-14","DS8","B09",21843,2.56e-10,0.939955533242487
"2012-01-14","DS8","B10",22971,5.12e-11,0.988496019507997
"2012-01-14","DS8","B11",22881,0,0.984623108369791
"2012-01-14","DS8","C03",13659,4e-06,0.587778813741663
"2012-01-14","DS8","C04",14162,8e-07,0.609424083769634
"2012-01-14","DS8","C05",15115,1.6e-07,0.650433909488632
"2012-01-14","DS8","C06",19414,3.2e-08,0.835429964856917
"2012-01-14","DS8","C07",22422,6.4e-09,0.964871261564943
"2012-01-14","DS8","C08",24947,1.28e-09,1.0735279351646
"2012-01-14","DS8","C09",25355,2.56e-10,1.09108513232446
"2012-01-14","DS8","C10",24532,5.12e-11,1.05566951158287
"2012-01-14","DS8","C11",23646,0,1.01754285304454
"2012-01-14","DS8","D03",13191,4e-06,0.567639675822994
"2012-01-14","DS8","D04",10460,8e-07,0.450118338951445
"2012-01-14","DS8","D05",13923,1.6e-07,0.599139353080399
"2012-01-14","DS8","D06",18424,3.2e-08,0.792827942336656
"2012-01-14","DS8","D07",23806,6.4e-09,1.02442802840135
"2012-01-14","DS8","D08",25333,1.28e-09,1.0901384207129
"2012-01-14","DS8","D09",24788,2.56e-10,1.06668579215377
"2012-01-14","DS8","D10",24190,5.12e-11,1.04095244925769
"2012-01-14","DS8","D11",23188,0,0.99783403858567
"2012-01-14","DS9","E03",5710,4e-06,0.280121664050235
"2012-01-14","DS9","E04",5725,8e-07,0.280857535321821
"2012-01-14","DS9","E05",6115,1.6e-07,0.299990188383046
"2012-01-14","DS9","E06",11767,3.2e-08,0.577266483516483
"2012-01-14","DS9","E07",20583,6.4e-09,1.0097625588697
"2012-01-14","DS9","E08",23048,1.28e-09,1.1306907378336
"2012-01-14","DS9","E09",24307,2.56e-10,1.19245486656201
"2012-01-14","DS9","E10",23020,5.12e-11,1.12931711145997
